"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"
"2:42:00::"	"it"	"."	"make"	"∅"	"make_it"	"it_."	"._∅"	"to_make_it"	"make_it_."	"it_._∅"	"._∅_∅"	"TO"	"VB"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dekalb"	"budget"	"for"	"be"	"a"	"record"	"one"	"and"	"carry"	"with_it"	"promise"	"of"	"no"	"tax"	"increase"	"to"	"make"	"it"	"balance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"the"	"of"	"of"	"any"	"of_the"	"the_of"	"of_any"	"payment_of_the"	"of_the_of"	"the_of_any"	"of_any_sum"	"NN"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"upon"	"the"	"concurrence"	"of"	"the"	"secretary_of_state"	"is"	"authorize"	"and"	"direct"	"out"	"of"	"the"	"sum"	"cover"	"into"	"the"	"yugoslav_claims_fund"	"pursuant"	"to"	"subsection"	"b"	"of_this"	"section"	"after"	"complete"	"the"	"payment"	"of"	"such"	"fund"	"pursuant"	"to"	"subsection"	"c"	"of_this"	"section"	"to"	"make"	"payment"	"of"	"the"	"balance"	"any"	"sum"	"remain"	"in"	"such"	"fund"	"to"	"the"	"government"	"of"	"the"	"location"	"to"	"the"	"extent"	"require"	"under"	"article"	"c"	"of"	"the"	"yugoslav_claims_agreement_of_1948"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"to"	"your"	"aim"	"employee"	"aim_to"	"to_your"	"your_employee"	"∅_aim_to"	"aim_to_your"	"to_your_employee"	"your_employee_benefit"	"ε"	"VB"	"TO"	"VB"	"PRP$"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"balance"	"your"	"employee"	"benefit"	"package"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"who"	"the"	"``"	"checkbook"	"``_who"	"who_the"	"the_checkbook"	",_``_who"	"``_who_the"	"who_the_checkbook"	"the_checkbook_,"	"ε"	"ε"	"WP"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"very"	"few"	"wife"	"say"	"person"	"balance"	"the"	"checkbook"	"fix"	"the"	"car"	"choose"	"where"	"the"	"family"	"will"	"live"	"and"	"deal"	"with"	"the"	"tradesman"	"are"	"suddenly"	"going_to"	"become"	"submissive"	"where"	"sex"	"is"	"concern"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"overall"	"and"	"improve"	"control"	"improve_overall"	"overall_and"	"and_control"	"it_improve_overall"	"improve_overall_and"	"overall_and_control"	"and_control_for"	"PRP"	"VB"	"JJ"	"NN"	"CC"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"overall"	"balance"	"and"	"control"	"for"	"the"	"bodybuilder"	"and"	"help"	"to"	"make"	"squat"	"more"	"easily"	"and"	"more"	"correctly"	"perform"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"the"	"between"	"that"	"the"	"that_the"	"the_between"	"between_the"	"and_that_the"	"that_the_between"	"the_between_the"	"between_the_two"	"CC"	"IN"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"seem"	"to"	"follow"	"that"	"by_and_large"	"an"	"antagonism"	"exist"	"between"	"the"	"paleocortex"	"the"	"neocortex"	"as_far_as"	"emotional"	"reactivity"	"is"	"concern"	"and"	"that"	"the"	"balance"	"between"	"the"	"two"	"system"	"determine"	"the"	"emotional"	"responsiveness"	"of"	"the"	"organism"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"hypothalamic"	"and"	"of"	"its"	"of_hypothalamic"	"hypothalamic_and"	"and_its"	"problem_of_hypothalamic"	"of_hypothalamic_and"	"hypothalamic_and_its"	"and_its_physiological"	"NN"	"IN"	"JJ"	"NN"	"CC"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"after"	"this"	"brief"	"discussion"	"of"	"neocortical"	"paleocortical"	"and"	"cortico-hypothalamic"	"relation"	"let"	"return"	"once_more"	"to"	"the"	"problem"	"of"	"hypothalamic"	"balance"	"and"	"its"	"physiological"	"and"	"pathological"	"significance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"hypothalamic"	"."	"the"	"∅"	"the_hypothalamic"	"hypothalamic_."	"._∅"	"on_the_hypothalamic"	"the_hypothalamic_."	"hypothalamic_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"shock_therapy"	"act"	"on"	"the"	"hypothalamic"	"balance"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"hypothalamic"	"occur"	"autonomic"	"spontaneously"	"autonomic_hypothalamic"	"hypothalamic_occur"	"occur_spontaneously"	"in_autonomic_hypothalamic"	"autonomic_hypothalamic_occur"	"hypothalamic_occur_spontaneously"	"occur_spontaneously_in"	"IN"	"JJ"	"JJ"	"NN"	"VB"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"was"	"assume"	"that"	"shift"	"in"	"autonomic"	"hypothalamic"	"balance"	"occur"	"spontaneously"	"in"	"neuropsychiatric"	"patient"	"from"	"the"	"application"	"of"	"certain"	"therapeutic"	"procedure"	"follow"	"the"	"pattern"	"know"	"from"	"the"	"sleep"	"wakefulness"	"cycle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"its"	"lead"	"in"	"also"	"in_its"	"its_lead"	"lead_also"	"change_in_its"	"in_its_lead"	"its_lead_also"	"lead_also_to"	"NN"	"IN"	"PRP$"	"NN"	"VB"	"RB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"perhaps"	"a"	"clue"	"to"	"these"	"and"	"related"	"problem"	"lie_in"	"the"	"fact"	"that"	"in"	"the"	"intensity"	"of"	"hypothalamic"	"discharge"	"which"	"are"	"associate"	"with"	"change"	"in"	"its"	"balance"	"lead"	"also"	"to"	"qualitative"	"alteration"	"in"	"reactivity"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"autonomic"	";"	"central"	"("	"central_autonomic"	"autonomic_;"	";_("	"the_central_autonomic"	"central_autonomic_;"	"autonomic_;_("	";_(_2"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"ε"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"has"	"further"	"been"	"show"	"that"	"an"	"experimental"	"neurosis"	"in"	"its"	"initial"	"stage"	"associate"	"with"	"a"	"reversible"	"shift"	"in"	"the"	"central"	"autonomic"	"balance"	"drug"	"alter"	"the"	"hypothalamic"	"balance"	"alter"	"conditioned_reaction"	"in"	"a"	"state"	"of"	"depression"	"the"	"conditioned_stimulus"	"may"	"fail"	"to"	"elicit"	"a"	"conditioned_reaction"	"but"	"cause"	"an"	"increased"	"synchrony"	"instead"	"of"	"the"	"excitatory"	"desynchronizing"	"alerting"	"effect"	"on"	"the"	"eeg"	
"1:26:00::"	"hypothalamic"	"alter"	"the"	"conditioned_reaction"	"the_hypothalamic"	"hypothalamic_alter"	"alter_conditioned_reaction"	"alter_the_hypothalamic"	"the_hypothalamic_alter"	"hypothalamic_alter_conditioned_reaction"	"alter_conditioned_reaction_;"	"VB"	"DT"	"JJ"	"NN"	"VB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"has"	"been"	"show"	"that"	"an"	"experimental"	"neurosis"	"in"	"its"	"initial"	"stage"	"is"	"associate"	"with"	"a"	"reversible"	"shift"	"the"	"central"	"autonomic"	"balance"	"drug"	"alter"	"the"	"hypothalamic"	"balance"	"alter"	"conditioned_reaction"	"in"	"a"	"state"	"of"	"depression"	"the"	"conditioned_stimulus"	"may"	"fail"	"to"	"elicit"	"a"	"conditioned_reaction"	"but"	"cause"	"an"	"increased"	"synchrony"	"instead"	"of"	"the"	"excitatory"	"desynchronizing"	"alerting"	"effect"	"on"	"the"	"eeg"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"hypothalamic"	"play"	"the"	"a"	"the_hypothalamic"	"hypothalamic_play"	"play_a"	"that_the_hypothalamic"	"the_hypothalamic_play"	"hypothalamic_play_a"	"play_a_crucial"	"IN"	"DT"	"JJ"	"NN"	"VB"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"foregoing"	"remark"	"that"	"the"	"hypothalamic"	"balance"	"play"	"a"	"crucial"	"role"	"at"	"the"	"crossroads"	"between"	"physiological"	"and"	"pathological"	"form"	"of"	"emotion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
