"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"
"1:26:00::"	"with"	"''"	"harmony"	"."	"harmony_with"	"with_''"	"''_."	"in_harmony_with"	"harmony_with_''"	"with_''_."	"''_._∅"	"VB"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"matter"	"here"	"be"	"family"	"loyalty"	"faith"	"in"	"the_buddha"	"and"	"stay"	"at"	"peace"	"the"	"phis"	"the"	"spirit"	"and"	"to"	"live"	"in"	"harmony"	"with"	"nature"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:02::"	"the"	"of"	"concern"	"primary"	"concern_the"	"the_of"	"of_primary"	"presupposition_concern_the"	"concern_the_of"	"the_of_primary"	"of_primary_human"	"NN"	"VB"	"DT"	"NN"	"IN"	"JJ"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"underlie"	"these"	"conception"	"of"	"are"	"certain"	"presupposition"	"concern"	"the"	"nature"	"of"	"primary"	"human"	"experience"	"which"	"require"	"some"	"exposition"	"before"	"the"	"main"	"argument"	"can"	"proceed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"over"	"and"	"supremacy"	"everywhere"	"supremacy_over"	"over_and"	"and_everywhere"	"'s_supremacy_over"	"supremacy_over_and"	"over_and_everywhere"	"and_everywhere_on"	"POS"	"NN"	"IN"	"NN"	"CC"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"are"	"already"	"commit"	"establish"	"man"	"supremacy"	"over"	"nature"	"and"	"everywhere"	"on"	"earth"	"not"	"merely"	"in"	"the"	"limited"	"social"	"political"	"economical"	"context"	"we"	"be"	"fond"	"of"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:02::"	"inner"	"''"	"transformed"	"which"	"transformed_inner"	"inner_''"	"''_which"	"a_transformed_inner"	"transformed_inner_''"	"inner_''_which"	"''_which_may"	"DT"	"JJ"	"JJ"	"NN"	"ε"	"WDT"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"any"	"inquiry"	"into"	"the"	"way"	"in"	"which"	"great"	"literature"	"affect"	"the"	"emotion"	"particularly"	"with_respect_to"	"the"	"of"	"harmony"	"or"	"relief"	"of"	"tension"	"or"	"sense"	"of"	"a"	"transformed"	"inner"	"nature"	"which"	"may"	"occur"	"a"	"most"	"careful"	"exploration"	"of"	"the"	"particular"	"feature"	"of"	"the"	"experience"	"which"	"produce"	"the"	"effect"	"would"	"be"	"require"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:02::"	"civil"	"will"	"a"	"contribute"	"a_civil"	"civil_will"	"will_contribute"	"of_a_civil"	"a_civil_will"	"civil_will_contribute"	"will_contribute_to"	"IN"	"DT"	"JJ"	"NN"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"research"	"and"	"development"	"activity"	"undertake"	"by"	"the"	"secretary_of_the_interior"	"shall"	"be"	"coordinate"	"or"	"conduct"	"jointly"	"with"	"department_of_defense"	"to"	"the"	"end"	"that"	"development"	"under"	"this"	"act"	"which"	"be"	"primarily"	"of"	"a"	"civil"	"nature"	"will"	"contribute"	"to"	"the"	"defense"	"of"	"the"	"nation"	"and"	"that"	"development"	"which"	"be"	"primarily"	"of"	"a"	"military"	"nature"	"will"	"to"	"the"	"greatest"	"practicable"	"extent"	"compatible"	"with"	"military"	"and"	"security"	"requirement"	"be"	"available"	"to"	"advance"	"the"	"purpose"	"of_this"	"act"	"and"	"to"	"strengthen"	"the"	"civil"	"economy"	"of"	"the"	"nation"	
"1:07:02::"	"military"	"will"	"a"	","	"a_military"	"military_will"	"will_,"	"of_a_military"	"a_military_will"	"military_will_,"	"will_,_to"	"IN"	"DT"	"JJ"	"NN"	"MD"	"ε"	"TO"	"development"	"activity"	"undertake"	"by"	"the"	"secretary_of_the_interior"	"shall"	"be"	"coordinate"	"or"	"conduct"	"jointly"	"with"	"the"	"department_of_defense"	"to"	"the"	"end"	"that"	"development"	"under"	"this"	"act"	"which"	"be"	"primarily"	"of"	"a"	"civil"	"nature"	"will"	"contribute"	"to"	"the"	"defense"	"of"	"the"	"nation"	"and"	"that"	"development"	"which"	"be"	"primarily"	"of"	"nature"	"will"	"to"	"the"	"greatest"	"practicable"	"extent"	"compatible"	"with"	"military"	"and"	"security"	"requirement"	"be"	"available"	"to"	"advance"	"the"	"purpose"	"of_this"	"act"	"and"	"to"	"strengthen"	"the"	"civil"	"economy"	"of"	"the"	"nation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"-"	"has"	"dominant"	"see"	"dominant_-"	"-_has"	"has_see"	"be_dominant_-"	"dominant_-_has"	"-_has_see"	"has_see_to"	"VB"	"JJ"	"ε"	"NN"	"VBZ"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"beyond"	"a"	"certain"	"point"	"of_course"	"no"	"can"	"be"	"dominant"	"nature"	"has"	"see"	"to"	"that"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:18:00::"	"pleasure"	"intend"	"and"	"for"	"and_pleasure"	"pleasure_intend"	"intend_for"	"fulfillment_and_pleasure"	"and_pleasure_intend"	"pleasure_intend_for"	"intend_for_her"	"NN"	"CC"	"NN"	"NN"	"VB"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"a"	"husband"	"be"	"sexually"	"selfish"	"and"	"heedless"	"of"	"his"	"desire"	"she"	"is"	"cheat"	"of"	"the"	"fulfillment"	"and"	"pleasure"	"nature"	"intend"	"for"	"her"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:02::"	"the"	"of"	"older"	"time"	"older_the"	"the_of"	"of_time"	"grow_older_the"	"older_the_of"	"the_of_time"	"of_time_change"	"VB"	"JJ"	"DT"	"NN"	"IN"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"was"	"it"	"possible"	"people"	"grow"	"older"	"the"	"nature"	"of"	"time"	"change"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:02::"	"human"	","	"into"	"have"	"into_human"	"human_,"	",_have"	"insight_into_human"	"into_human_,"	"human_,_have"	",_have_stand"	"NN"	"IN"	"JJ"	"NN"	"ε"	"VBP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"shakespeare"	"wit"	"and"	"wisdom"	"his"	"insight"	"into"	"human"	"nature"	"have"	"stand"	"the"	"test"	"of"	"century"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:02::"	"human"	"and"	"into"	"-"	"into_human"	"human_and"	"and_-"	"insight_into_human"	"into_human_and"	"human_and_-"	"and_-_especially"	"NN"	"IN"	"JJ"	"NN"	"CC"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"into"	"the"	"texture"	"of"	"this"	"tapestry"	"of"	"history"	"and"	"human"	"drama"	"person"	"as"	"every"	"delight"	"to"	"do"	"weave"	"strand"	"of"	"her"	"own"	"intuitive"	"insight"	"into"	"human"	"nature"	"and"	"especially"	"in"	"the"	"remarkable"	"story"	"of"	"the"	"attraction"	"and"	"conflict"	"between"	"two"	"so"	"disparate"	"and"	"fervent"	"character"	"as"	"this"	"pair"	"into"	"the"	"relations"	"of"	"man"	"and"	"woman"	"in"	"their"	"relations"	"she"	"be"	"the"	"giver"	"and"	"he"	"the"	"receiver"	"nay"	"the"	"demander"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"expect"	"will"	"artist"	"do"	"artist_expect"	"expect_will"	"will_do"	"the_artist_expect"	"artist_expect_will"	"expect_will_do"	"will_do_his"	"DT"	"NN"	"VB"	"NN"	"MD"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"be"	"thoroughly"	"convinced"	"that"	"most"	"suffer"	"because"	"the"	"artist"	"expect"	"nature"	"will"	"do"	"his"	"composing"	"for"	"him"	"as"	"a"	"result"	"such"	"picture"	"be"	"only"	"a"	"literal"	"translation"	"of"	"what"	"the"	"artist"	"find"	"in"	"the"	"scene"	"before"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:17:00::"	")"	"("	"2"	"29"	"2_)"	")_("	"(_29"	"(_2_)"	"2_)_("	")_(_29"	"(_29_term"	"ε"	"JJ"	"ε"	"NN"	"ε"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"we"	"have"	"left"	"as"	"reasonably"	"comparable"	"be"	"four"	"class"	"body_part"	"and"	"product"	"which"	"with"	"a"	"proportionally"	"nearly"	"even"	"representation"	"term"	"out"	"of"	"out"	"of"	"come_out"	"nearly"	"even"	"ratio"	"and"	"nature"	"term"	"against"	"ratio"	"versus"	"adjective"	"term"	"versus"	"verb"	"term"	"ratio"	"versus"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:01::"	"dual"	"of"	"the"	"its"	"the_dual"	"dual_of"	"of_its"	"emphasize_the_dual"	"the_dual_of"	"dual_of_its"	"of_its_writing"	"VB"	"DT"	"JJ"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"many"	"and"	"frequent"	"performance"	"of"	"trout"	"serve"	"to"	"emphasize"	"the"	"dual"	"nature"	"of"	"its"	"writing"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:02::"	"the"	"of"	"∅"	"the"	"∅_the"	"the_of"	"of_the"	"∅_∅_the"	"∅_the_of"	"the_of_the"	"of_the_opposition"	"ε"	"ε"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nature"	"of"	"the"	"opposition"	"between"	"liberal"	"and"	"bourbon"	"is"	"too"	"little"	"understand"	"in"	"the"	"north"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:02::"	"noble"	"and"	"a"	"the"	"a_noble"	"noble_and"	"and_the"	"of_a_noble"	"a_noble_and"	"noble_and_the"	"and_the_exercise"	"IN"	"DT"	"JJ"	"NN"	"CC"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"resolve"	"that"	"while"	"we"	"most"	"decidedly"	"disapprove"	"the"	"method"	"he"	"adopt"	"to"	"accomplish"	"his"	"object"	"yet"	"in"	"his"	"willingness"	"die"	"in"	"aid"	"of"	"the"	"great"	"cause"	"of"	"human"	"freedom"	"still"	"recognize"	"the"	"quality"	"of"	"a"	"noble"	"nature"	"and"	"the"	"exercise"	"of"	"a"	"spirit"	"which"	"true"	"man"	"have"	"always"	"admire"	"and"	"which"	"history"	"never"	"fail"	"to"	"honor"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:02::"	"the"	"of"	"of"	"disease"	"of_the"	"the_of"	"of_disease"	"knowledge_of_the"	"of_the_of"	"the_of_disease"	"of_disease_."	"NN"	"IN"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"perhaps"	"the"	"most"	"illuminating"	"example"	"of"	"the"	"reduction"	"of"	"through"	"understanding"	"is"	"derive"	"from"	"our"	"increased"	"knowledge"	"of"	"the"	"nature"	"of"	"disease"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:02::"	"chemical"	"of"	"the"	"the"	"the_chemical"	"chemical_of"	"of_the"	"∅_the_chemical"	"the_chemical_of"	"chemical_of_the"	"of_the_iodocompound"	"ε"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"chemical"	"nature"	"of"	"the"	"iodocompound"	"is"	"discuss"	"below"	"pp."	"et_seq."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
