"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"
"1:06:01::"	"the"	"of_which"	","	"regularly"	",_the"	"the_of_which"	"of_which_regularly"	")_,_the"	",_the_of_which"	"the_of_which_regularly"	"of_which_regularly_enter"	"ε"	"ε"	"DT"	"NN"	"RB"	"RB"	"VB"	"or"	"any"	"duly"	"authorized"	"representative"	"shall"	"be"	"entitle"	"to"	"admission"	"to"	"and"	"to"	"require"	"report"	"from"	"the"	"operator"	"of"	"any"	"metal"	"or"	"nonmetallic"	"mine"	"which"	"be"	"in"	"a"	"state"	"exclude"	"any"	"coal"	"or"	"lignite"	"mine"	"the"	"product"	"regularly"	"enter"	"commerce"	"or"	"the"	"operation"	"of_which"	"substantially"	"affect"	"commerce"	"for"	"the"	"purpose"	"of"	"gather"	"datum"	"and"	"information"	"necessary"	"for"	"the"	"study"	"authorize"	"in"	"the"	"first"	"section"	"of_this"	"act"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"obtain"	"of"	"in"	"of_the"	"the_obtain"	"obtain_in"	"sum_of_the"	"of_the_obtain"	"the_obtain_in"	"obtain_in_item"	"NN"	"IN"	"DT"	"NN"	"VB"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"the"	"of"	"the"	"product"	"obtain"	"in"	"item"	"above"	"for"	"all"	"the"	"state"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"for"	"of"	"all"	"of_the"	"the_for"	"for_all"	"sum_of_the"	"of_the_for"	"the_for_all"	"for_all_the"	"NN"	"IN"	"DT"	"NN"	"IN"	"JJ"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"determine"	"the"	"ratio"	"that"	"the"	"amount"	"allot"	"be"	"to"	"the"	"sum"	"of"	"the"	"product"	"for"	"all"	"the"	"state"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"restaurant"	","	"sell"	"have"	"sell_restaurant"	"restaurant_,"	",_have"	"firm_sell_restaurant"	"sell_restaurant_,"	"restaurant_,_have"	",_have_considerable"	"NN"	"VB"	"NN"	"NN"	"ε"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"president"	"of"	"small"	"firm"	"sell"	"restaurant"	"product"	"have"	"considerable"	"difficulty"	"in"	"find"	"suitable"	"salesman"	"for"	"his"	"business"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"'s"	"."	"industry"	"∅"	"industry_'s"	"'s_."	"._∅"	"the_industry_'s"	"industry_'s_."	"'s_._∅"	"._∅_∅"	"DT"	"NN"	"POS"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"are"	"concerned"	"with"	"demand"	"for"	"the"	"industry"	"product"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"the"	"price"	"with"	","	"with_the"	"the_price"	"price_,"	"inversely_with_the"	"with_the_price"	"the_price_,"	"price_,_and"	"RB"	"IN"	"DT"	"NN"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"form"	"of"	"the"	"industry"	"demand"	"function"	"be"	"which"	"make"	"quantity"	"demand"	"vary"	"inversely"	"with"	"the"	"product"	"price"	"and"	"vary"	"directly"	"with"	"the"	"level"	"of"	"gnp"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:27:00::"	"the"	"be"	"when"	"relatively"	"when_the"	"the_be"	"be_relatively"	"fluorine_when_the"	"when_the_be"	"the_be_relatively"	"be_relatively_nonvolatile"	"NN"	"RB"	"DT"	"NN"	"VB"	"RB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"another"	"recent"	"achievement"	"be"	"the"	"successful"	"development"	"of"	"a"	"method"	"for"	"complete"	"combustion"	"in"	"a"	"bomb_calorimeter"	"of"	"a"	"metal"	"in"	"fluorine"	"when"	"the"	"product"	"be"	"relatively"	"nonvolatile"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"and"	","	"body_part"	"which"	"body_part_and"	"and_,"	",_which"	")_body_part_and"	"body_part_and_,"	"and_,_which"	",_which_with"	"ε"	"NN"	"CC"	"NN"	"ε"	"WDT"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"we"	"have"	"left"	"as"	"reasonably"	"comparable"	"four"	"class"	"body_part"	"and"	"product"	"which"	"with"	"a"	"proportionally"	"nearly"	"even"	"representation"	"term"	"out"	"of"	"out"	"of"	"come_out"	"with"	"nearly"	"even"	"ratio"	"and"	"nature"	"term"	"against"	"ratio"	"versus"	"adjective"	"term"	"ratio"	"versus"	"verb"	"term"	"ratio"	"versus"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"soap"	"at"	"to"	"a"	"to_soap"	"soap_at"	"at_a"	"life_to_soap"	"to_soap_at"	"soap_at_a"	"at_a_time"	"NN"	"TO"	"NN"	"NN"	"RB"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"polyphosphate"	"give"	"life"	"to"	"soap"	"product"	"at"	"a"	"time"	"when"	"surfactant"	"be"	"a"	"threat"	"though"	"expensive"	"and"	"these"	"same"	"polyphosphate"	"spell"	"the"	"decline"	"of"	"soap"	"usage"	"when"	"the"	"synergism"	"between"	"polyphosphate"	"and"	"synthetic"	"detergent"	"active"	"was"	"recognize"	"and"	"exploit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"alkaline"	":"	"of"	"("	"of_alkaline"	"alkaline_:"	":_("	"class_of_alkaline"	"of_alkaline_:"	"alkaline_:_("	":_(_1"	"NN"	"IN"	"JJ"	"NN"	"ε"	"ε"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"hard"	"surface"	"cleaning"	"in"	"household"	"application"	"represent"	"by"	"two"	"class"	"of"	"alkaline"	"product"	"the"	"formulation"	"make"	"expressly"	"for"	"machine"	"dishwasher"	"and"	"the"	"general-purpose"	"cleaner"	"use"	"for"	"wall"	"and"	"woodwork"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"a"	"of"	"be"	"first"	"be_a"	"a_of"	"of_first"	"t_be_a"	"be_a_of"	"a_of_first"	"of_first_degree"	"NN"	"VB"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"notation"	"of"	"the"	"proof"	"of"	"theorem"	"let"	"us"	"take_a_look"	"at"	"special"	"case"	"in"	"which"	"the"	"minimal"	"polynomial"	"for"	"t"	"be"	"a"	"product"	"of"	"first"	"degree"	"polynomial"	"i.e."	"the"	"case"	"in"	"which"	"each"	"f"	"be"	"of"	"the"	"form"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"last"	"of"	"the"	"a"	"the_last"	"last_of"	"of_a"	"among_the_last"	"the_last_of"	"last_of_a"	"of_a_phase"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"dipylon_geometric"	"pottery"	"of"	"athens"	"and"	"the"	"iliad"	"be"	"amazing"	"manifestation"	"of"	"inherent"	"potentiality"	"of"	"greek"	"civilization"	"but"	"both"	"be"	"among"	"the"	"last"	"product"	"of"	"a"	"phase"	"which"	"was"	"end"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"of"	"."	"development"	"∅"	"development_of"	"of_."	"._∅"	"and_development_of"	"development_of_."	"of_._∅"	"._∅_∅"	"CC"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"sba"	"provide"	"guidance"	"and"	"advice"	"on"	"source"	"of"	"technical"	"relate"	"to"	"small"	"business"	"management"	"and"	"research"	"and"	"development"	"of"	"product"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"on"	"and"	"information"	"process"	"information_on"	"on_and"	"and_process"	"for_information_on"	"information_on_and"	"on_and_process"	"and_process_particularly"	"IN"	"NN"	"IN"	"NN"	"CC"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sba"	"serve"	"also"	"as"	"clearing_house"	"for"	"information"	"on"	"product"	"and"	"process"	"particularly"	"adaptable"	"for"	"exploitation"	"by"	"small"	"firm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"farm"	","	"market"	"purchase"	"market_farm"	"farm_,"	",_purchase"	"and_market_farm"	"market_farm_,"	"farm_,_purchase"	",_purchase_farm"	"CC"	"VB"	"NN"	"NN"	"ε"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"be"	"eligible"	"to"	"borrow"	"from"	"a"	"group"	"a"	"cooperative"	"must"	"be"	"association"	"in"	"which"	"farmer"	"act"	"together"	"in"	"process"	"and"	"market"	"farm"	"product"	"purchase"	"farm"	"supply"	"or"	"furnish"	"farm"	"business"	"services"	"and"	"must"	"meet"	"the"	"requirement"	"set_forth"	"in"	"the"	"farm_credit_act_of_1933"	"as"	"amend"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"toxic"	"for"	"their"	"the"	"their_toxic"	"toxic_for"	"for_the"	"or_their_toxic"	"their_toxic_for"	"toxic_for_the"	"for_the_purpose"	"CC"	"PRP$"	"JJ"	"NN"	"RB"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"biological_warfare"	"be"	"the"	"intentional"	"use"	"living"	"microorganism"	"or"	"their"	"toxic"	"product"	"for"	"the"	"purpose"	"of"	"destroy"	"or"	"reduce"	"the"	"military"	"effectiveness"	"of"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
