"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"
"2:32:00::"	"to"	"priorities"	"as"	"within"	"as_to"	"to_priorities"	"priorities_within"	"decisions_as_to"	"as_to_priorities"	"to_priorities_within"	"priorities_within_a"	"NNS"	"RB"	"TO"	"VB"	"NNS"	"IN"	"DT"	"end"	"of"	"the"	"spectrum"	"where"	"the"	"more"	"advanced"	"countries"	"can"	"be"	"rely_upon"	"to"	"make"	"well"	"thought"	"through"	"decisions"	"as"	"priorities"	"within"	"a"	"consistent"	"program"	"we"	"should"	"be"	"prepared"	"to"	"depart"	"substantially"	"from"	"detailed"	"project"	"approval"	"as"	"the"	"basis"	"for"	"grant"	"assistance"	"and"	"to"	"move"	"toward"	"long-term"	"support"	"in_cooperation"	"with"	"developed"	"countries"	"of"	"the"	"essential"	"foreign_exchange"	"requirements"	"of"	"the"	"country"	"development"	"program"	
"2:32:00::"	"to"	"mr._mitchell"	"effort"	"as"	"effort_to"	"to_mr._mitchell"	"mr._mitchell_as"	"the_effort_to"	"effort_to_mr._mitchell"	"to_mr._mitchell_as"	"mr._mitchell_as_the"	"DT"	"NN"	"TO"	"VB"	"NNP"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"have"	"witness"	"in_this"	"the"	"effort"	"to"	"project"	"mr._mitchell"	"as"	"the"	"image"	"of"	"a"	"unity"	"candidate"	"from"	"washington"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"by"	"this"	"create"	"inner"	"create_by"	"by_this"	"this_inner"	"or_create_by"	"create_by_this"	"by_this_inner"	"this_inner_image"	"CC"	"VB"	"IN"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"it"	"has"	"truly"	"say"	"that"	"anything"	"man"	"can"	"he"	"can"	"produce"	"or"	"create"	"by"	"project"	"this"	"inner"	"image"	"into"	"its"	"counterpart"	"in"	"the"	"objective"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"man"	"his"	"can"	"imagination"	"can_man"	"man_his"	"his_imagination"	"not_only_can_man"	"can_man_his"	"man_his_imagination"	"his_imagination_out"	"RB"	"MD"	"NN"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"not_only"	"man"	"project"	"his"	"imagination"	"out"	"into"	"his"	"environment"	"in"	"concrete"	"forms"	"but"	"even"	"more"	"importantly"	"he"	"can"	"turn"	"it"	"inward"	"to"	"help"	"create"	"new"	"and"	"better"	"forms"	"of"	"himself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"with"	"things"	"over-occupied"	"into"	"over-occupied_with"	"with_things"	"things_into"	"greatly_over-occupied_with"	"over-occupied_with_things"	"with_things_into"	"things_into_his"	"RB"	"JJ"	"IN"	"VB"	"NNS"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"so_far"	"in"	"history"	"man"	"be"	"too"	"greatly"	"over-occupied"	"with"	"project"	"things"	"into"	"his"	"environment"	"rather_than"	"first"	"create"	"the"	"sort_of"	"person"	"who"	"can"	"make"	"the"	"highest"	"use"	"of"	"the"	"things"	"he"	"has"	"create"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"self-help"	"''"	"be"	","	"be_self-help"	"self-help_''"	"''_,"	"see_be_self-help"	"be_self-help_''"	"self-help_''_,"	"''_,_person"	"VB"	"VB"	"NN"	"NN"	"ε"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"you"	"be"	"self-help"	"project"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:31:00::"	"of"	"industry"	"program"	"and"	"program_of"	"of_industry"	"industry_and"	"a_program_of"	"program_of_industry"	"of_industry_and"	"industry_and_occupational"	"DT"	"NN"	"IN"	"VB"	"NN"	"CC"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"while"	"the"	"u.s."	"have"	"a"	"program"	"of"	"project"	"industry"	"and"	"occupational"	"employment"	"trend"	"and"	"publish"	"current"	"outlook"	"statement"	"there"	"be"	"little"	"tangible"	"evidence"	"that"	"these"	"projection"	"have"	"been"	"use"	"extensively"	"in"	"local"	"curriculum"	"planning"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"promising"	","	"of"	"domestic"	"of_promising"	"promising_,"	",_domestic"	"make_of_promising"	"of_promising_,"	"promising_,_domestic"	",_domestic_and"	"VB"	"IN"	"JJ"	"NN"	"ε"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"cause"	"on-site"	"inspection"	"be"	"make"	"of"	"promising"	"project"	"domestic"	"and"	"foreign"	"and"	"in"	"the"	"case"	"of"	"project"	"located"	"in"	"the"	"united_states"	"cooperate"	"and"	"participate"	"in"	"their"	"development"	"in"	"instance"	"in"	"which"	"the"	"purpose"	"of_this"	"act"	"will"	"be"	"serve"	"thereby"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"of"	"located"	"case"	"in"	"case_of"	"of_located"	"located_in"	"the_case_of"	"case_of_located"	"of_located_in"	"located_in_the"	"DT"	"NN"	"IN"	"NN"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"cause"	"on-site"	"inspection"	"to"	"be"	"make"	"of"	"promising"	"project"	"domestic"	"and"	"foreign"	"and"	"in"	"the"	"of"	"project"	"located"	"in"	"the"	"united_states"	"cooperate"	"and"	"participate"	"in"	"their"	"development"	"in"	"instance"	"in"	"which"	"the"	"purpose"	"of_this"	"act"	"will"	"be"	"serve"	"thereby"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"conversion"	";"	"water"	"and"	"water_conversion"	"conversion_;"	";_and"	"saline_water_conversion"	"water_conversion_;"	"conversion_;_and"	";_and_cooperate"	"NN"	"NN"	"NN"	"NN"	"ε"	"CC"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"coordinate"	"correlate"	"and"	"publish"	"information"	"with"	"a"	"view"	"to"	"advance"	"the"	"development"	"of"	"saline"	"water"	"conversion"	"project"	"and"	"cooperate"	"with"	"federal_department"	"and"	"agency"	"with"	"state_department"	"and"	"local_department"	"agency"	"and"	"instrumentality"	"and"	"with"	"interested"	"person"	"firm"	"institution"	"and"	"organization"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"equal"	"mean"	"concern"	"mean_to"	"to_equal"	"equal_concern"	"i_mean_to"	"mean_to_equal"	"to_equal_concern"	"equal_concern_for"	"PRP"	"VB"	"TO"	"VB"	"JJ"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"have"	"seem"	"to"	"emphasize"	"the"	"structure"	"the"	"composition"	"i"	"mean"	"to"	"project"	"equal"	"concern"	"for"	"color"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:08::"	"and"	"its"	"up"	"linear"	"up_and"	"and_its"	"its_linear"	"it_up_and"	"up_and_its"	"and_its_linear"	"its_linear_form"	"PRP"	"RB"	"CC"	"VB"	"PRP$"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"work"	"from"	"one"	"of"	"my"	"i"	"square_up"	"it"	"up"	"and"	"project"	"its"	"linear"	"form"	"freehand"	"to"	"the"	"watercolor"	"sheet"	"with"	"charcoal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"research"	"as"	"∅"	"soon"	"∅_research"	"research_as"	"as_soon"	"∅_∅_research"	"∅_research_as"	"research_as_soon"	"as_soon_as"	"ε"	"ε"	"NN"	"NN"	"RB"	"RB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"project"	"as"	"soon"	"as"	"possible"	"the"	"cause"	"and"	"prevention"	"of"	"dependency"	"and"	"illegitimacy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"special"	"department"	"group"	","	"group_special"	"special_department"	"department_,"	"the_group_special"	"group_special_department"	"special_department_,"	"department_,_and"	"DT"	"NNP"	"JJ"	"NN"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"program"	"come_out"	"the"	"group"	"special"	"project"	"department"	"and"	"was"	"slot"	"in"	"the"	"du_pont_show"	"of"	"the"	"week"	"series"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"excavation"	"."	"his"	"∅"	"his_excavation"	"excavation_."	"._∅"	"of_his_excavation"	"his_excavation_."	"excavation_._∅"	"._∅_∅"	"IN"	"PRP$"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"how"	"many"	"be"	"person"	"ask"	"person"	"at"	"one"	"stage"	"his"	"excavation"	"project"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
