"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"
"2:41:00::"	"in"	"the"	","	"relief"	",_in"	"in_the"	"the_relief"	"president_kennedy_,_in"	",_in_the"	"in_the_relief"	"the_relief_measure"	"NNP"	"ε"	"IN"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"president_kennedy"	"sign"	"the"	"relief"	"measure"	"into"	"law"	"stress"	"he"	"regard"	"it"	"as"	"an"	"exception"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"have"	"his"	"should"	"letter"	"should_have"	"have_his"	"his_letter"	"14_should_have"	"should_have_his"	"have_his_letter"	"his_letter_``"	"CD"	"MD"	"VB"	"VB"	"PRP$"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"letter_writer"	"who"	"suggest"	"save"	"money"	"by"	"kids"	"out"	"of"	"school"	"at"	"should"	"have"	"sign"	"his"	"letter"	"simpleton"	"instead"	"of"	"simplicitude"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"and"	"285"	"study"	"official"	"study_and"	"and_285"	"285_official"	",_study_and"	"study_and_285"	"and_285_official"	"285_official_papers"	"ε"	"VB"	"CC"	"VB"	"CD"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"his"	"first"	"six"	"weeks"	"in"	"office"	"he"	"preside"	"over"	"conferences"	"attend"	"official"	"and"	"dinners"	"study"	"and"	"sign"	"official"	"papers"	"and"	"personally"	"took"	"telephone_calls"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"to"	"a"	"expect"	"contract"	"expect_to"	"to_a"	"a_contract"	"group_expect_to"	"expect_to_a"	"to_a_contract"	"a_contract_in"	"NN"	"VB"	"TO"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"couple"	"own"	"budget"	"of"	"with"	"a"	"state"	"grant"	"authorize"	"by"	"the"	"group"	"expect"	"to"	"sign"	"a"	"contract"	"in"	"march"	"with"	"georgia_tech."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"was"	"by"	"paper"	"forty-five"	"paper_was"	"was_by"	"by_forty-five"	"this_paper_was"	"paper_was_by"	"was_by_forty-five"	"by_forty-five_persons"	"DT"	"NN"	"VBD"	"VB"	"IN"	"CD"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"was"	"sign"	"by"	"forty-five"	"persons"	"subscribe"	"a"	"total"	"of"	"two"	"hundred"	"shares"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"senate"	"a"	"the"	"check"	"the_senate"	"senate_a"	"a_check"	",_the_senate"	"the_senate_a"	"senate_a_check"	"a_check_for"	"ε"	"DT"	"NNP"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_all"	"senate"	"sign"	"a"	"check"	"for"	"billion"	"which"	"not_only"	"include"	"the"	"extra"	"billion"	"request"	"the"	"week"	"before"	"by"	"president_kennedy"	"but"	"tack_on"	"million"	"more_than"	"the"	"president"	"had"	"ask"	"for"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	","	"expect"	"not"	"expect_to"	"to_,"	",_not"	"is_expect_to"	"expect_to_,"	"to_,_not"	",_not_too"	"VBZ"	"VB"	"TO"	"VB"	"ε"	"RB"	"RB"	"by"	"voice"	"vote"	"and"	"the"	"house"	"by"	"pass"	"and"	"send"	"to"	"the"	"white_house"	"the"	"compromise"	"farm_bill"	"which"	"the"	"president"	"is"	"expect"	"to"	"not"	"too"	"unhappily"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"judge_benjamin_michaelson"	"the"	"∅"	"order"	"∅_judge_benjamin_michaelson"	"judge_benjamin_michaelson_the"	"the_order"	"∅_∅_judge_benjamin_michaelson"	"∅_judge_benjamin_michaelson_the"	"judge_benjamin_michaelson_the_order"	"the_order_remand"	"ε"	"ε"	"NNP"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sign"	"the"	"order"	"remand"	"the"	"boy"	"to"	"the"	"hospital"	"because"	"of"	"the"	"lack"	"of"	"juvenile"	"accommodations"	"at"	"the"	"anne_arundel_county_jail"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"after"	"a"	"∅"	"motion-picture"	"∅_after"	"after_a"	"a_motion-picture"	"∅_∅_after"	"∅_after_a"	"after_a_motion-picture"	"a_motion-picture_contract"	"ε"	"ε"	"IN"	"VB"	"DT"	"NN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sign"	"a"	"motion-picture"	"contract"	"she"	"come"	"to"	"america"	"and"	"have"	"goodbye"	"mr."	"chips"	"as"	"her"	"first"	"assignment"	"after"	"a"	"year"	"wait"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"an"	"fail"	"eight"	"fail_to"	"to_an"	"an_eight"	"parties_fail_to"	"fail_to_an"	"to_an_eight"	"an_eight_point"	"NNS"	"VB"	"TO"	"VB"	"DT"	"CD"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"army"	"leaders"	"threaten"	"to"	"form"	"a"	"military"	"government"	"if"	"the"	"parties"	"fail"	"to"	"sign"	"an"	"eight"	"point"	"protocol"	"agree"	"on"	"gen._gursel"	"as"	"president"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"a"	","	"peace_treaty"	",_to"	"to_a"	"a_peace_treaty"	"proposals_,_to"	",_to_a"	"to_a_peace_treaty"	"a_peace_treaty_with"	"NNS"	"ε"	"TO"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"president"	"kennedy"	"once_again"	"interpret"	"soviet"	"proposals"	"to"	"sign"	"a"	"peace_treaty"	"with"	"germany"	"as"	"a"	"threat"	"as"	"part"	"of"	"the"	"world"	"menace"	"allegedly"	"loom"	"over"	"the"	"countries"	"of"	"capitalism"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"he"	"his"	"as"	"scorecard"	"as_he"	"he_his"	"his_scorecard"	"∅_as_he"	"as_he_his"	"he_his_scorecard"	"his_scorecard_and"	"ε"	"IN"	"PRP"	"VB"	"PRP$"	"NN"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"sign"	"his"	"scorecard"	"and"	"walk"	"off"	"the"	"course"	"player"	"be"	"almost"	"in"	"tears"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:05::"	"real"	"of"	"no"	"the"	"no_real"	"real_of"	"of_the"	"was_no_real"	"no_real_of"	"real_of_the"	"of_the_river"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"no"	"real"	"sign"	"of"	"the"	"river"	"now"	"just"	"a"	"roiling"	"oily"	"ribbon"	"of"	"liquid"	"movement"	"through"	"muddy"	"water"	"that"	"reach"	"everywhere"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:05::"	"a"	"she"	"give"	"'d"	"give_a"	"a_she"	"she_'d"	"n't_give_a"	"give_a_she"	"a_she_'d"	"she_'d_hear"	"RB"	"VB"	"DT"	"NN"	"PRP"	"MD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"his"	"wife"	"n't"	"give"	"a"	"sign"	"she"	"hear"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"recently"	"by"	"contract"	"group"	"contract_recently"	"recently_by"	"by_group"	"union_contract_recently"	"contract_recently_by"	"recently_by_group"	"by_group_?"	"NN"	"NN"	"RB"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"can"	"you"	"consider"	"restrict"	"any"	"additional"	"employee"	"benefit"	"to"	"those"	"pay"	"for"	"by"	"profit_sharing"	"money"	"such_as"	"was"	"in"	"the"	"union"	"contract"	"recently"	"sign"	"by"	"group"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:05::"	"show"	"of"	"still"	"where"	"still_show"	"show_of"	"of_where"	"bed_still_show"	"still_show_of"	"show_of_where"	"of_where_person"	"NN"	"RB"	"VB"	"NN"	"IN"	"WRB"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"still"	"show"	"sign"	"of"	"where"	"person"	"had"	"lie"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"old"	","	"that"	"supposed"	"that_old"	"old_,"	",_supposed"	"be_that_old"	"that_old_,"	"old_,_supposed"	",_supposed_to"	"VB"	"IN"	"JJ"	"NN"	"ε"	"JJ"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"that"	"old"	"sign"	"supposed"	"to"	"be"	"painted"	"over"	"a"	"door"	"somewhere"	"abandon"	"hope"	"all"	"ye"	"who"	"enter"	"here"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:05::"	"or"	"."	"indication"	"∅"	"indication_or"	"or_."	"._∅"	"an_indication_or"	"indication_or_."	"or_._∅"	"._∅_∅"	"DT"	"NN"	"CC"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"because"	"of"	"the"	"size"	"of"	"the"	"area"	"it"	"cover"	"the"	"pasted"	"paper"	"establish"	"undepicted"	"flatness"	"bodily"	"more"	"than"	"an"	"indication"	"or"	"sign"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:01::"	"no"	"of"	"show"	"having"	"show_no"	"no_of"	"of_having"	"face_show_no"	"show_no_of"	"no_of_having"	"of_having_hear"	"NN"	"VB"	"DT"	"NN"	"IN"	"VBG"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"her"	"show"	"no"	"sign"	"of"	"having"	"hear"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"was"	"by"	","	"the"	",_was"	"was_by"	"by_the"	"title_,_was"	",_was_by"	"was_by_the"	"by_the_group"	"NN"	"ε"	"VBD"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"the"	"quarterback"	"who"	"lead"	"the"	"to"	"the"	"title"	"was"	"sign"	"by"	"the"	"group"	"last"	"wednesday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"must"	"petition"	"county"	"request"	"county_must"	"must_petition"	"petition_request"	"each_county_must"	"county_must_petition"	"must_petition_request"	"petition_request_that"	"JJ"	"NN"	"MD"	"VB"	"NN"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"five"	"percent"	"of"	"the"	"in"	"each"	"county"	"must"	"sign"	"petition"	"request"	"that"	"the"	"republican"	"be"	"allow"	"to"	"place"	"name"	"of"	"candidate"	"on"	"the"	"general_election"	"ballot"	"or"	"the"	"republican"	"must"	"hold"	"a"	"primary"	"under"	"the"	"county"	"unit"	"system"	"a"	"system"	"which"	"the"	"party"	"oppose"	"in"	"its"	"platform"	
"2:32:00::"	","	"his"	"baltimore"	"contract"	"baltimore_,"	",_his"	"his_contract"	"from_baltimore_,"	"baltimore_,_his"	",_his_contract"	"his_contract_for"	"IN"	"NN"	"ε"	"VB"	"PRP$"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"the"	"big"	"year"	"old"	"shortstop"	"the"	"group"	"rookie"	"of"	"the"	"year"	"fly"	"here"	"late"	"this"	"afternoon"	"from"	"sign"	"his"	"contract"	"for"	"an"	"estimated"	"and"	"be"	"a"	"spectator"	"at"	"tonight"	"to"	"loss"	"to"	"kansas_city"	"the"	"winless"	"group"	"sixth"	"setback"	"in_a_row"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"she"	"the"	"∅"	"letter"	"∅_she"	"she_the"	"the_letter"	"∅_∅_she"	"∅_she_the"	"she_the_letter"	"the_letter_quickly"	"ε"	"ε"	"PRP"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"sign"	"the"	"letter"	"quickly"	"stamp"	"them"	"and"	"place"	"them"	"on"	"the"	"hall"	"table"	"for"	"person"	"to"	"mail"	"in"	"town"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
