"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"
"2:38:00::"	"people"	"the"	"two"	"ridge"	"two_people"	"people_the"	"the_ridge"	"see_two_people"	"two_people_the"	"people_the_ridge"	"the_ridge_to_the_south"	"VB"	"CD"	"NNS"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"in"	"late"	"afternoon"	"on"	"the"	"last_day"	"june"	"he"	"see"	"two"	"people"	"top"	"the"	"ridge"	"to_the_south"	"and"	"walk"	"toward"	"the"	"house"	"he"	"quit"	"work"	"immediately"	"and"	"stride"	"to"	"his"	"rifle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"the"	"of"	"at"	"the"	"at_the"	"the_of"	"of_the"	"church_at_the"	"at_the_of"	"the_of_the"	"of_the_location"	"NN"	"IN"	"DT"	"NN"	"IN"	"DT"	"NNP"	"0"	"he"	"had"	"never"	"hear"	"so"	"many"	"bell"	"and"	"as"	"he"	"lie"	"there"	"listen"	"he"	"think_of"	"her"	"scold"	"him"	"for"	"his"	"remark"	"when"	"he"	"had"	"look"	"up"	"at"	"the"	"obelisk"	"and"	"the"	"church"	"the"	"top"	"of"	"the"	"location"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:02::"	"the"	"of"	"at"	"the"	"at_the"	"the_of"	"of_the"	"regroup_at_the"	"at_the_of"	"the_of_the"	"of_the_hill"	"VB"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"korean"	"fall_back"	"regroup"	"at"	"the"	"top"	"of"	"the"	"hill"	"and"	"pin"	"down"	"the"	"cavalryman"	"with"	"a"	"screen"	"of"	"fire"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:maximal:00"	"get"	"dollar"	"you"	"from"	"you_get"	"get_dollar"	"dollar_from"	"are_you_get"	"you_get_dollar"	"get_dollar_from"	"dollar_from_the"	"VBP"	"PRP"	"VB"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"get"	"top"	"dollar"	"from"	"the"	"shooting"	"sport"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"on"	"of"	"sheet_of_paper"	"it"	"sheet_of_paper_on"	"on_of"	"of_it"	"the_sheet_of_paper_on"	"sheet_of_paper_on_of"	"on_of_it"	"of_it_."	"DT"	"NN"	"IN"	"JJ"	"RB"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"from"	"where"	"he"	"stand"	"he"	"could"	"see"	"the"	"neatly"	"folded"	"that"	"he"	"had"	"spread_over"	"person"	"the"	"pillow"	"the"	"sheet_of_paper"	"on"	"top"	"of"	"it"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:02::"	"the"	"and"	"reach"	"head"	"reach_the"	"the_and"	"and_head"	"they_reach_the"	"reach_the_and"	"the_and_head"	"and_head_for"	"PRP"	"VB"	"DT"	"NN"	"CC"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"climb"	"the"	"steps"	"they"	"reach"	"the"	"top"	"and"	"head"	"for"	"the"	"door"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"her"	"hoop"	"hike_up"	"as"	"hike_up_her"	"her_hoop"	"hoop_as"	"and_hike_up_her"	"hike_up_her_hoop"	"her_hoop_as"	"hoop_as_if"	"CC"	"VB"	"PRP$"	"JJ"	"NN"	"IN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"swoop_up"	"the"	"and"	"hike_up"	"her"	"top"	"hoop"	"as"	"if"	"about"	"to"	"take_off"	"with"	"a"	"racing"	"start"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	","	"off"	"leave"	"off_the"	"the_,"	",_leave"	"shear_off_the"	"off_the_,"	"the_,_leave"	",_leave_an"	"VB"	"IN"	"DT"	"NN"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"second"	"and"	"also"	"good"	"be"	"to"	"shear"	"off"	"the"	"top"	"leave"	"an"	"inch"	"high"	"stub"	"with"	"just"	"a"	"leaf"	"or"	"two"	"on"	"each"	"branch"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"the"	"portion"	"of"	"of"	"of_the"	"the_portion"	"portion_of"	"feature_of_the"	"of_the_portion"	"the_portion_of"	"portion_of_figure"	"NN"	"IN"	"DT"	"JJ"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"some"	"of"	"feature"	"of"	"the"	"top"	"portion"	"of"	"figure"	"and"	"figure"	"were"	"mention"	"in"	"discuss"	"table"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"of"	"at"	"the"	"at_the"	"the_of"	"of_the"	"∅_at_the"	"at_the_of"	"the_of_the"	"of_the_stairs"	"ε"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"top"	"of"	"the"	"stairs"	"he"	"run_into"	"somebody"	"stand"	"there"	"angrily"	"in"	"a"	"dressing_gown"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"'s"	"since"	"club"	"1949"	"club_'s"	"'s_since"	"since_1949"	"the_club_'s"	"club_'s_since"	"'s_since_1949"	"since_1949_."	"DT"	"NN"	"POS"	"NN"	"IN"	"CD"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"be"	"on"	"may"	"but"	"end"	"with"	"triumph"	"club"	"top"	"since"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:best:00"	"two"	"talent"	"the"	"of"	"the_two"	"two_talent"	"talent_of"	"∅_the_two"	"the_two_talent"	"two_talent_of"	"talent_of_the"	"ε"	"DT"	"JJ"	"JJ"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"two"	"top"	"talent"	"of"	"the"	"time"	"person"	"and"	"person"	"have"	"hit"	"the"	"ball"	"hard"	"and"	"more"	"successfully"	"so_far"	"this"	"early"	"season"	"than"	"at"	"any"	"period"	"in"	"career"	"which"	"to"	"be"	"frank"	"about"	"it"	"never"	"have"	"quite"	"reach"	"expectation"	
"1:28:00::"	"the"	"of"	"in"	"the"	"in_the"	"the_of"	"of_the"	"lead_in_the"	"in_the_of"	"the_of_the"	"of_the_sixth"	"NN"	"IN"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"had"	"taken"	"a"	"in"	"the"	"top"	"of"	"the"	"sixth"	"on"	"a"	"pair"	"of"	"pop_fly"	"hit"	"a"	"triple"	"by"	"person"	"and"	"single"	"by"	"person"	"a"	"walk"	"and"	"a"	"sacrifice_fly"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:important:00"	"'s"	"ruler"	"game"	"."	"game_'s"	"'s_ruler"	"ruler_."	"the_game_'s"	"game_'s_ruler"	"'s_ruler_."	"ruler_._∅"	"DT"	"NN"	"POS"	"JJ"	"NN"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"rule"	"provide_for"	"a"	"blackout"	"of"	"televise"	"baseball"	"before"	"the"	"start"	"of"	"a"	"major_league"	"minor_league"	"game"	"in"	"any"	"area"	"come"	"from"	"the"	"game"	"top"	"ruler"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:00::"	"the"	"of"	"to"	"the"	"to_the"	"the_of"	"of_the"	"person_to_the"	"to_the_of"	"the_of_the"	"of_the_wall"	"NNP"	"TO"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at"	"two"	"thirty"	"send"	"person"	"to"	"the"	"top"	"of"	"the"	"wall"	"at"	"the"	"northeast"	"corner"	"of"	"the"	"mission"	"to"	"keep_an_eye_on"	"the"	"ridge"	"road"	"and"	"give"	"a"	"signal"	"when"	"he"	"first"	"glimpse"	"the"	"approach"	"of"	"person"	"party"	"0"	"0"	"0"	"0"	"0"	
"1:15:02::"	"the"	"where"	"to"	"the"	"to_the"	"the_where"	"where_the"	"hill_to_the"	"to_the_where"	"the_where_the"	"where_the_church"	"NN"	"TO"	"DT"	"NN"	"WRB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"yet"	"everywhere"	"else"	"sameness"	"be"	"stucco"	"and"	"wood"	"in"	"square_block"	"like"	"fortress"	"perch"	"against"	"the"	"slant"	"the"	"hill"	"rise"	"with"	"the"	"hill"	"to"	"the"	"top"	"where"	"the"	"church"	"be"	"and"	"beyond"	"that"	"to"	"the"	"cemetery"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:important:00"	"a"	"official"	","	"say"	",_a"	"a_official"	"official_say"	"governor's_race_,_a"	",_a_official"	"a_official_say"	"official_say_wednesday"	"NN"	"ε"	"DT"	"JJ"	"NN"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"georgia"	"republican"	"are"	"get"	"strong"	"encouragement"	"to"	"a"	"candidate"	"in"	"the"	"governor's_race"	"a"	"top"	"official"	"say"	"wednesday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"the"	"of"	"as_late_as"	"the"	"as_late_as_the"	"the_of"	"of_the"	"indication_as_late_as_the"	"as_late_as_the_of"	"the_of_the"	"of_the_sixth"	"NN"	"IN"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"indication"	"the"	"top"	"of"	"the"	"sixth"	"be"	"that"	"the"	"group"	"were"	"to"	"end"	"their"	"victory"	"drought"	"as"	"they"	"coast"	"along"	"with"	"a"	"to-o"	"advantage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:28:00::"	"the"	"of"	"in"	"the"	"in_the"	"the_of"	"of_the"	"take_over_in_the"	"in_the_of"	"the_of_the"	"of_the_fourth"	"VB"	"IN"	"DT"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"get"	"five"	"hit"	"and"	"all"	"three"	"their"	"run"	"off"	"person"	"before"	"person"	"take_over"	"in"	"the"	"top"	"of"	"the"	"fourth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"5:00:00:maximal:00"	"for"	"speed"	"ask"	"only"	"ask_for"	"for_speed"	"speed_only"	"was_ask_for"	"ask_for_speed"	"for_speed_only"	"speed_only_in"	"VBD"	"VB"	"VB"	"JJ"	"NN"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"toy_with"	"her"	"field"	"in"	"the"	"stage"	"garden_fresh"	"was"	"ask"	"for"	"top"	"speed"	"only"	"in"	"the"	"stretch"	"by"	"jockey"	"person"	"and"	"win"	"by"	"a"	"length"	"and"	"a"	"half"	"in"	"for"	"the"	"furlong"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:02::"	"on"	"of"	"out"	"the"	"out_on"	"on_of"	"of_the"	"clamber_out_on"	"out_on_of"	"on_of_the"	"of_the_headland"	"VB"	"RB"	"IN"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"thought"	"must"	"have"	"been"	"keep"	"silent"	"pace"	"beside"	"his"	"own"	"climb"	"same"	"crag"	"in"	"dirty"	"white"	"sneaker"	"clamber"	"out"	"on"	"top"	"of"	"the"	"headland"	"and"	"come_upon"	"the"	"sudden"	"glinting"	"water"	"at"	"the"	"same"	"instant"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"3:00:00::"	"a"	"star"	"of"	","	"of_a"	"a_star"	"star_,"	"fullback_of_a"	"of_a_star"	"a_star_,"	"star_,_person"	"VB"	"IN"	"DT"	"JJ"	"NN"	"ε"	"NNP"	"a"	"thing"	"or"	"two"	"to"	"mutter"	"about"	"himself"	"for"	"the"	"dallas"	"defensive"	"unit"	"turn_in"	"another"	"splendid"	"effort"	"against"	"denver"	"and"	"the"	"group"	"be"	"able"	"to"	"whip"	"the"	"dangerous"	"group"	"without"	"the"	"fullback"	"a"	"star"	"person"	"though"	"he"	"did"	"the"	"team"	"place-kicking"	"while"	"nurse"	"a"	"knee"	"injury"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:15:01::"	"the"	"of"	"over"	"the"	"over_the"	"the_of"	"of_the"	"up_over_the"	"over_the_of"	"the_of_the"	"of_the_paper"	"RB"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"glance"	"over"	"the"	"top"	"of"	"the"	"paper"	"and"	"look"	"into"	"the"	"mustached"	"homely"	"face"	"of"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
