"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"	"A145"	"A146"	"A147"	"A148"	"A149"	"A150"	"A151"	"A152"	"A153"	"A154"	"A155"	"A156"	"A157"	"A158"	"A159"	"A160"	"A161"	"A162"	"A163"	"A164"
"2:32:00::"	"investment_bankers"	"only"	"new_york"	"they"	"new_york_investment_bankers"	"investment_bankers_only"	"only_they"	"big_new_york_investment_bankers"	"new_york_investment_bankers_only"	"investment_bankers_only_they"	"only_they_can"	"JJ"	"NN"	"NN"	"VB"	"RB"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"be"	"also"	"pleased"	"with"	"the"	"wide"	"distribution"	"because"	"he"	"think"	"it"	"prove"	"again"	"his"	"that"	"dallas"	"investment"	"men"	"can"	"do"	"just_as"	"good"	"a"	"job"	"as"	"the"	"big"	"new_york"	"investment_bankers"	"claim"	"only"	"they"	"can"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"long"	"that"	"has"	"it"	"has_long"	"long_that"	"that_it"	"georgia_has_long"	"has_long_that"	"long_that_it"	"that_it_does"	"NNP"	"VBZ"	"JJ"	"VB"	"IN"	"PRP"	"VBZ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"university"	"georgia"	"has"	"long"	"claim"	"that"	"it"	"does"	"not"	"discriminate"	"against"	"any"	"applicant"	"on"	"the"	"basis"	"of"	"race"	"or"	"color"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"in"	"that"	","	"the"	",_in"	"in_that"	"that_the"	"themselves_,_in"	",_in_that"	"in_that_the"	"that_the_gospel"	"PRP"	"ε"	"IN"	"VB"	"IN"	"DT"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"one"	"thing"	"the"	"higher"	"critics"	"like"	"the"	"however"	"overreach"	"themselves"	"in"	"claim"	"that"	"the"	"gospel"	"of"	"john"	"was"	"not"	"write"	"in"	"john"	"time"	"but"	"well"	"after"	"the"	"first"	"century"	"perhaps"	"as"	"late"	"as"	"a._d."	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"can"	"this"	","	"promise"	",_can"	"can_this"	"this_promise"	"too_,_can"	",_can_this"	"can_this_promise"	"this_promise_tender"	"RB"	"ε"	"MD"	"VB"	"DT"	"NN"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"a"	"joy"	"to"	"realize"	"we"	"too"	"can"	"claim"	"this"	"promise"	"tender"	"by"	"the"	"lord"	"during"	"his"	"earthly"	"ministry"	"to"	"a"	"group"	"of"	"men"	"who"	"be"	"very"	"dear"	"to"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"governmen"	"that"	"the"	"metronome"	"the_governmen"	"governmen_that"	"that_metronome"	"which_the_governmen"	"the_governmen_that"	"governmen_that_metronome"	"that_metronome_and"	"WDT"	"DT"	"NNS"	"VB"	"IN"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"not_only"	"be"	"the"	"court"	"costs"	"prohibitive"	"but"	"i"	"was"	"subject"	"to"	"crippling"	"fines"	"to"	"usurious"	"interest"	"on"	"the"	"unpaid"	"debts"	"which"	"the"	"governmen"	"claim"	"that"	"metronome"	"and"	"i"	"owe"	"a"	"severe"	"financial"	"blow"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"can"	"on"	"we"	"the"	"we_can"	"can_on"	"on_the"	"``_we_can"	"we_can_on"	"can_on_the"	"on_the_maximum"	"ε"	"PRP"	"MD"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"claim"	"on"	"the"	"maximum"	"amount"	"of"	"the"	"bond"	"berger"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	","	"the"	"in_turn"	"tax"	"in_turn_,"	",_the"	"the_tax"	",_in_turn_,"	"in_turn_,_the"	",_the_tax"	"the_tax_under"	"ε"	"RB"	"ε"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"smithfield"	"in_turn"	"claim"	"the"	"tax"	"under"	"the"	"provision"	"of"	"law"	"and"	"all"	"tangible"	"personal_property"	"situate"	"or"	"be"	"in"	"any"	"town"	"in"	"or"	"upon"	"any"	"place"	"of"	"storage"	"h"	"shall"	"be"	"tax"	"to"	"such"	"person"	"in"	"the"	"town"	"where"	"said"	"property"	"be"	"situated"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"any"	"decide"	"with"	"by"	"with_any"	"any_decide"	"decide_by"	"connection_with_any"	"with_any_decide"	"any_decide_by"	"decide_by_the"	"NN"	"IN"	"DT"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"with"	"any"	"claim"	"decide"	"by"	"the"	"commission"	"pursuant"	"to"	"this"	"title"	"in"	"which"	"an"	"award"	"is"	"make"	"the"	"commission"	"may"	"upon"	"the"	"written"	"request"	"of"	"the"	"claimant"	"or"	"any"	"attorney"	"heretofore"	"or"	"hereafter"	"employ"	"by"	"such"	"claimant"	"determine"	"and"	"apportion"	"the"	"just"	"and"	"reasonable"	"attorney"	"fee"	"for"	"services"	"render"	"with_respect_to"	"such"	"claim"	"but"	"the"	"total"	"amount"	"of"	"the"	"fee"	"so"	"determine"	"in"	"any"	"case"	"shall"	"not"	"exceed"	"percent"	"of"	"the"	"total"	"amount"	"pay"	"pursuant"	"to"	"the"	"award"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"such"	","	"with_respect_to"	"but"	"with_respect_to_such"	"such_,"	",_but"	"render_with_respect_to_such"	"with_respect_to_such_,"	"such_,_but"	",_but_the"	"VB"	"JJ"	"JJ"	"NN"	"ε"	"CC"	"DT"	"with"	"any"	"claim"	"decide"	"by"	"the"	"commission"	"pursuant"	"to"	"this"	"title"	"in"	"which"	"an"	"award"	"is"	"make"	"the"	"commission"	"may"	"upon"	"the"	"written"	"request"	"of"	"the"	"claimant"	"or"	"any"	"attorney"	"heretofore"	"or"	"hereafter"	"employ"	"by"	"such"	"claimant"	"determine"	"and"	"apportion"	"the"	"just"	"and"	"reasonable"	"attorney"	"fee"	"for"	"services"	"render"	"with_respect_to"	"such"	"but"	"the"	"total"	"amount"	"of"	"the"	"fee"	"so"	"determine"	"in"	"any"	"case"	"shall"	"not"	"exceed"	"percent"	"of"	"the"	"total"	"amount"	"pay"	"pursuant"	"to"	"the"	"award"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"any"	"of"	"to"	"the"	"to_any"	"any_of"	"of_the"	"as_to_any"	"to_any_of"	"any_of_the"	"of_the_government"	"RB"	"TO"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"attorney_general"	"shall"	"assign"	"such"	"officer"	"and"	"employee"	"of"	"the"	"as"	"may"	"be"	"necessary"	"to"	"represent"	"the"	"united_states"	"as"	"to"	"any"	"claim"	"of"	"the"	"government"	"of"	"the"	"united_states"	"with_respect_to"	"which"	"the"	"commission"	"have"	"jurisdiction"	"under"	"this"	"title"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"their"	","	"of"	"state"	"of_their"	"their_,"	",_state"	"denial_of_their"	"of_their_,"	"their_,_state"	",_state_the"	"NN"	"IN"	"PRP$"	"NN"	"ε"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"commission"	"shall"	"notify"	"all"	"claimant"	"the"	"approval"	"or"	"denial"	"of"	"their"	"claim"	"state"	"the"	"reason"	"and"	"ground"	"therefor"	"and"	"if"	"approved"	"shall"	"notify"	"such"	"claimant"	"of"	"the"	"amount"	"for"	"which"	"such"	"claim"	"are"	"approve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"such"	"are"	"which"	"approve"	"which_such"	"such_are"	"are_approve"	"for_which_such"	"which_such_are"	"such_are_approve"	"are_approve_."	"IN"	"WDT"	"JJ"	"NN"	"VB"	"VB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"commission"	"shall"	"notify"	"all"	"claimant"	"of"	"the"	"approval"	"or"	"denial"	"of"	"their"	"claim"	"state"	"the"	"reason"	"ground"	"therefor"	"and"	"if"	"approved"	"shall"	"notify"	"such"	"claimant"	"of"	"the"	"amount"	"for"	"which"	"such"	"claim"	"are"	"approve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"individual"	"while"	"an"	"defer"	"an_individual"	"individual_while"	"while_defer"	"in_an_individual"	"an_individual_while"	"individual_while_defer"	"while_defer_consideration"	"IN"	"DT"	"JJ"	"NN"	"IN"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"commission"	"may"	"in"	"its"	"discretion"	"enter"	"an"	"award"	"with_respect_to"	"one"	"more"	"item"	"deem"	"to"	"have"	"been"	"clearly"	"establish"	"in"	"an"	"individual"	"claim"	"while"	"defer"	"consideration"	"and"	"action"	"on"	"item"	"of"	"the"	"same"	"claim"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"same"	"."	"the"	"∅"	"the_same"	"same_."	"._∅"	"of_the_same"	"the_same_."	"same_._∅"	"._∅_∅"	"IN"	"DT"	"JJ"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"commission"	"may"	"in"	"its"	"discretion"	"enter"	"an"	"award"	"with_respect_to"	"one"	"or"	"more"	"item"	"deem"	"to"	"been"	"clearly"	"establish"	"in"	"an"	"individual"	"claim"	"while"	"defer"	"consideration"	"and"	"action"	"on"	"item"	"of"	"the"	"same"	"claim"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"group"	"arise"	"of"	"under"	"of_group"	"group_arise"	"arise_under"	"settlement_of_group"	"of_group_arise"	"group_arise_under"	"arise_under_the"	"NN"	"IN"	"NNP"	"NN"	"VB"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"commission"	"shall"	"complete"	"its"	"in"	"connection"	"with"	"settlement"	"of"	"group"	"claim"	"arise"	"under"	"the"	"yugoslav_claims_agreement_of_1948"	"not"	"late"	"than"	"december_31"	"provided"	"that"	"nothing"	"in_this"	"provision"	"shall"	"be"	"construe"	"to"	"limit"	"the"	"life"	"of"	"the"	"commission"	"or"	"its"	"authority"	"to"	"act_on"	"future"	"agreement"	"which"	"may"	"be"	"effect"	"under"	"the"	"provision"	"of_this"	"legislation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
