"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"	"A145"	"A146"	"A147"	"A148"	"A149"	"A150"	"A151"	"A152"	"A153"	"A154"	"A155"	"A156"	"A157"	"A158"	"A159"	"A160"	"A161"	"A162"	"A163"	"A164"
"1:10:00::"	"the"	","	"of"	"or"	"of_the"	"the_,"	",_or"	"assignment_of_the"	"of_the_,"	"the_,_or"	",_or_any"	"NN"	"IN"	"DT"	"NN"	"ε"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"a"	"receiver"	"or"	"trustee"	"for"	"any"	"such"	"partnership"	"or"	"corporation"	"duly"	"appoint"	"by"	"court"	"of"	"competent"	"jurisdiction"	"in"	"the"	"united_states"	"make"	"an"	"assignment"	"of"	"the"	"claim"	"or"	"any"	"part"	"thereof"	"with_respect_to"	"which"	"an"	"award"	"is"	"make"	"or"	"make"	"an"	"assignment"	"of"	"such"	"award"	"or"	"any"	"part"	"thereof"	"payment"	"shall"	"be"	"make"	"to"	"the"	"assignee"	"as"	"his"	"interest"	"may"	"appear"	"and"	"in"	"the"	"case"	"of"	"any"	"assignment"	"of"	"an"	"award"	"or"	"any"	"part"	"thereof"	"which"	"is"	"make"	"in_writing"	"and"	"duly"	"acknowledge"	"and"	"file"	"after"	"such"	"award"	"is"	"certify"	"to"	"the"	"secretary_of_the_treasury"	"payment"	"may"	"in"	"the"	"discretion"	"of"	"the"	"secretary_of_the_treasury"	"be"	"make"	"to"	"the"	"assignee"	"as"	"his"	"interest"	"may"	"appear"	
"1:10:00::"	"any"	"on"	"of"	"behalf"	"of_any"	"any_on"	"on_behalf"	",_of_any"	"of_any_on"	"any_on_behalf"	"on_behalf_of"	"ε"	"IN"	"DT"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"nothing"	"in"	"the"	"title"	"shall"	"be"	"construe"	"as"	"the"	"assumption"	"of"	"any"	"liability"	"by"	"united_states"	"for"	"the"	"payment"	"or"	"satisfaction"	"in"	"whole"	"or"	"in"	"part"	"of"	"any"	"claim"	"on"	"behalf"	"of"	"any"	"national"	"of"	"the"	"united_states"	"against"	"any"	"foreign"	"government"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"a"	"fund"	"be"	"to"	"be_a"	"a_fund"	"fund_to"	"to_be_a"	"be_a_fund"	"a_fund_to"	"fund_to_be"	"TO"	"VB"	"DT"	"NN"	"NN"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"are"	"hereby"	"create"	"in"	"the"	"treasury"	"of"	"the"	"united_states"	"a"	"special"	"fund"	"to"	"be"	"known"	"as"	"the"	"yugoslav_claims_fund"	"and"	"such"	"special"	"fund"	"as"	"may"	"in"	"the"	"discretion"	"of"	"the"	"secretary_of_the_treasury"	"be"	"each"	"to"	"be"	"a"	"claim"	"fund"	"to"	"be"	"known"	"by"	"the"	"name"	"of"	"the"	"foreign"	"government"	"which"	"has"	"enter"	"into"	"a"	"settlement"	"agreement"	"with"	"the"	"government"	"of"	"the"	"united_states"	"as"	"describe"	"in"	"subsection"	"a"	"of"	"section"	"of_this"	"title"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"a"	"settlement"	"into"	"agreement"	"into_a"	"a_settlement"	"settlement_agreement"	"enter_into_a"	"into_a_settlement"	"a_settlement_agreement"	"settlement_agreement_with"	"VB"	"IN"	"DT"	"NN"	"NN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"special"	"fund"	"create"	"for"	"that"	"purpose"	"pursuant"	"to"	"subsection"	"a"	"of_this"	"section"	"any"	"amount"	"pay"	"in"	"united_states_dollar"	"by"	"a"	"foreign"	"government"	"which"	"has"	"enter"	"into"	"a"	"claim"	"settlement"	"agreement"	"with"	"the"	"government"	"of"	"the"	"united_states"	"as"	"describe"	"in"	"subsection"	"a"	"of"	"section"	"of_this"	"title"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"advertising"	","	"and"	"partly"	"and_advertising"	"advertising_,"	",_partly"	"product_and_advertising"	"and_advertising_,"	"advertising_,_partly"	",_partly_because"	"NN"	"CC"	"NN"	"NN"	"ε"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"average"	"consumer"	"is"	"become"	"sophisticated"	"regarding"	"product"	"and"	"advertising"	"claim"	"partly"	"because"	"of"	"widespread"	"criticism"	"of"	"such"	"assertion"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"a"	"for"	"file"	"refund"	"file_a"	"a_for"	"for_refund"	"for_file_a"	"file_a_for"	"a_for_refund"	"for_refund_."	"IN"	"VB"	"DT"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"elect"	"to"	"use"	"the"	"standard"	"deduction"	"or"	"the"	"tax"	"table"	"and"	"later"	"find"	"you"	"should"	"have"	"itemize"	"deduction"	"you"	"may"	"do"	"so"	"by"	"file"	"an"	"amended_return"	"within"	"the"	"time"	"prescribed"	"for"	"file"	"a"	"claim"	"for"	"refund"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"a"	"for"	"as"	"refund"	"as_a"	"a_for"	"for_refund"	"serve_as_a"	"as_a_for"	"a_for_refund"	"for_refund_of"	"VB"	"VB"	"DT"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"return"	"for"	"a"	"may"	"also"	"serve"	"as"	"a"	"claim"	"for"	"refund"	"of"	"an"	"overpayment"	"of"	"tax"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:02::"	"also"	"an"	"may"	"exemption"	"may_also"	"also_an"	"an_exemption"	"you_may_also"	"may_also_an"	"also_an_exemption"	"an_exemption_for"	"PRP"	"MD"	"RB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"your"	"child"	"be"	"under"	"or"	"a"	"student"	"you"	"may"	"also"	"claim"	"an"	"exemption"	"for"	"him"	"if"	"he"	"qualify"	"as"	"your"	"dependent"	"even"	"though"	"he"	"earn"	"or"	"more"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"what"	"to"	"employ"	"be"	"employ_what"	"what_to"	"to_be"	"and_employ_what"	"employ_what_to"	"what_to_be"	"to_be_a"	"CC"	"VB"	"WP"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"negro"	"composer"	"person"	"study"	"the"	"americanegro_suite"	"and"	"say"	"of"	"it"	"of"	"the"	"many"	"song"	"write"	"by"	"white"	"composer"	"and"	"employ"	"what"	"claim"	"to"	"be"	"a"	"negroid"	"idiom"	"in"	"both"	"words"	"and"	"music"	"these"	"six"	"song"	"by"	"person"	"and"	"person"	"easily"	"stand_out"	"far"	"out"	"above"	"the"	"rest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:02::"	"his"	"of"	"to"	"devote"	"to_his"	"his_of"	"of_devote"	"as_to_his"	"to_his_of"	"his_of_devote"	"of_devote_100"	"RB"	"TO"	"PRP$"	"NN"	"IN"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"petitioner"	"first"	"contend"	"that"	"the"	"group"	"deny"	"him"	"procedural"	"due_process"	"by"	"not"	"give"	"him"	"timely"	"opportunity"	"before"	"final"	"recommendation"	"to"	"the"	"appeal_board"	"to"	"answer"	"the"	"statement"	"of"	"the"	"local"	"board"	"as"	"to"	"his"	"claim"	"of"	"devote"	"hour"	"to"	"actual"	"preaching"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"he"	"person"	"``"	"be"	"``_he"	"he_person"	"person_be"	"∅_``_he"	"``_he_person"	"he_person_be"	"person_be_in"	"ε"	"ε"	"PRP"	"VB"	"NNP"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"claim"	"person"	"be"	"in"	"a"	"plot"	"to"	"kill"	"the"	"pm"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"person"	"to"	"which"	"have"	"which_person"	"person_to"	"to_have"	"in_which_person"	"which_person_to"	"person_to_have"	"to_have_catch"	"RB"	"RB"	"NNP"	"VB"	"TO"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"his"	"inner"	"thought"	"cringe"	"at"	"it"	"he"	"force"	"to"	"think_back"	"recreate"	"the"	"scene"	"in"	"which"	"person"	"claim"	"to"	"have"	"catch"	"him"	"molest"	"the"	"child"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"are"	","	"we"	"at_least"	"we_are"	"are_,"	",_at_least"	"as_we_are"	"we_are_,"	"are_,_at_least"	",_at_least_among"	"IN"	"PRP"	"VBP"	"VB"	"ε"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"however"	"even"	"if"	"the"	"latent"	"demand"	"for"	"demythologization"	"not"	"nearly"	"as"	"widespread"	"as"	"we"	"are"	"claim"	"at_least"	"among"	"the"	"cultured"	"element"	"of"	"the"	"population"	"there"	"tend"	"to"	"be"	"an"	"almost"	"complete"	"indifference"	"to"	"the"	"church"	"and"	"its"	"traditional"	"message"	"of"	"sin"	"and"	"grace"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"of"	","	"technical"	",_the"	"the_of"	"of_technical"	"ago_,_the"	",_the_of"	"the_of_technical"	"of_technical_improvement"	"RB"	"ε"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"since"	"the"	"concept"	"of"	"high_fidelity"	"become"	"some"	"dozen"	"year"	"ago"	"the"	"claim"	"of"	"technical"	"improvement"	"have"	"multiply"	"tenfold"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:07:01::"	"or"	"for"	"property"	"1"	"property_or"	"or_for"	"for_1"	"their_property_or"	"property_or_for"	"or_for_1"	"for_1_or"	"PRP$"	"NN"	"CC"	"NN"	"IN"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"encourage"	"exploration"	"for"	"domestic"	"source"	"of"	"mineral"	"the"	"group"	"ome"	"of"	"the"	"group"	"offer"	"assistance"	"to"	"firm"	"and"	"individual"	"who"	"desire"	"to"	"explore"	"their"	"property"	"or"	"claim"	"for"	"or"	"more"	"of"	"the"	"mineral"	"commodity"	"list"	"in"	"the"	"ome"	"regulation"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:32:00::"	"editor"	"that"	"the"	"there"	"the_editor"	"editor_that"	"that_there"	"for_the_editor"	"the_editor_that"	"editor_that_there"	"that_there_be"	"IN"	"DT"	"NN"	"VB"	"IN"	"EX"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"no"	"sympathy"	"or"	"admiration"	"for"	"person"	"could"	"find"	"in"	"the"	"group"	"for"	"the"	"editor"	"claim"	"that"	"there"	"be"	"a"	"score"	"of"	"man"	"in"	"the"	"state_prison"	"who"	"be"	"a_thousand"	"time"	"more"	"deserving"	"of"	"sympathy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:00::"	"person"	"it"	"guard"	"for"	"guard_person"	"person_it"	"it_for"	"and_guard_person"	"guard_person_it"	"person_it_for"	"it_for_dallas"	"CC"	"NN"	"NNP"	"VB"	"PRP"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"make"	"themselves"	"a"	"comforting"	"break"	"on"	"the"	"opening"	"kickoff"	"when"	"denver"	"person"	"was"	"jar"	"from"	"the"	"ball"	"when"	"person"	"the"	"speedy"	"halfback"	"hit"	"him"	"and"	"guard"	"person"	"claim"	"it"	"for"	"dallas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
