"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"
"1:09:00::"	"of"	")"	"level"	"to"	"level_of"	"of_)"	")_to"	"of_level_of"	"level_of_)"	"of_)_to"	")_to_a"	"IN"	"NN"	"IN"	"NN"	"ε"	"TO"	"DT"	"concern"	"of"	"person"	"impressive"	"volume"	"called"	"mimesis"	"be"	"to"	"describe"	"the"	"shift"	"from"	"a"	"classic"	"theory"	"of"	"imitation"	"based"	"upon"	"a"	"recognition"	"of"	"level"	"truth"	"to"	"a"	"christian"	"theory"	"of"	"imitation"	"in"	"which"	"the"	"level"	"are"	"dissolve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"''"	"it"	"?"	"it_the"	"the_''"	"''_?"	"n't_it_the"	"it_the_''"	"the_''_?"	"''_?_∅"	"RB"	"PRP"	"DT"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"ai"	"n't"	"the"	"truth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	","	"be"	"but"	"be_the"	"the_,"	",_but"	"it_be_the"	"be_the_,"	"the_,_but"	",_but_person"	"PRP"	"VB"	"DT"	"NN"	"ε"	"CC"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"suggest"	"that"	"one"	"must"	"it"	"in"	"because"	"it"	"be"	"the"	"truth"	"but"	"person"	"did"	"not"	"take_to"	"the"	"word"	"truth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"word"	"."	"the"	"∅"	"the_word"	"word_."	"._∅"	"take_to_the_word"	"the_word_."	"word_._∅"	"._∅_∅"	"VB"	"DT"	"NN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"suggest"	"that"	"must"	"let"	"it"	"in"	"because"	"it"	"be"	"the"	"but"	"person"	"did"	"not"	"take_to"	"the"	"word"	"truth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"the"	"or"	"settle"	"falsity"	"settle_the"	"the_or"	"or_falsity"	"californian_settle_the"	"settle_the_or"	"the_or_falsity"	"or_falsity_of"	"NN"	"VB"	"DT"	"NN"	"CC"	"NN"	"IN"	"when"	"person"	"pride_of_palomar"	"inform"	"us"	"in"	"that"	"we"	"have"	"an"	"instinctive"	"dislike"	"for"	"the"	"japanese"	"did"	"the"	"heated"	"debate"	"of"	"the"	"californian"	"settle"	"the"	"or"	"falsity"	"of"	"the"	"proposition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"begin"	","	"to"	",_the"	"the_begin"	"begin_to"	"surroundings_,_the"	",_the_begin"	"the_begin_to"	"begin_to_sink_in"	"NN"	"ε"	"DT"	"NN"	"VB"	"TO"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"at_last"	"sit"	"there"	"in"	"the"	"surroundings"	"the"	"truth"	"begin"	"to"	"sink_in"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"the"	"be"	"∅"	","	"∅_the"	"the_be"	"be_,"	"∅_∅_the"	"∅_the_be"	"the_be_,"	"be_,_the"	"ε"	"ε"	"DT"	"NN"	"VB"	"ε"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"truth"	"be"	"the"	"puncher"	"be"	"both"	"bewildered"	"and"	"dismayed"	"by"	"his"	"own"	"mixed"	"luck"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:26:00::"	"of"	"roar"	"conviction"	"through"	"conviction_of"	"of_roar"	"roar_through"	"the_conviction_of"	"conviction_of_roar"	"of_roar_through"	"roar_through_him"	"DT"	"NN"	"IN"	"NN"	"VB"	"IN"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"as"	"conviction"	"of"	"truth"	"roar"	"through"	"him"	"shatter"	"his"	"last"	"hope"	"of"	"safety"	"he"	"was"	"reach"	"to"	"release"	"the"	"hand_brake"	"to"	"head"	"up"	"the"	"road"	"for"	"home"	"do"	"her"	"bidding"	
"1:09:00::"	"the"	"be"	"∅"	","	"∅_the"	"the_be"	"be_,"	"∅_∅_the"	"∅_the_be"	"the_be_,"	"be_,_though"	"ε"	"ε"	"DT"	"NN"	"VB"	"ε"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"truth"	"be"	"though"	"that"	"man"	"react"	"differently"	"to"	"different"	"treatment"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"one"	"which"	","	"he"	",_one"	"one_which"	"which_he"	"overlook_,_one"	",_one_which"	"one_which_he"	"which_he_could"	"VB"	"ε"	"JJ"	"NN"	"WDT"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"be"	"one"	"fact"	"which"	"could"	"not"	"overlook"	"one"	"truth"	"which"	"he"	"could"	"not"	"deny"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:09:00::"	"the"	"of_it"	"be"	","	"be_the"	"the_of_it"	"of_it_,"	"time_be_the"	"be_the_of_it"	"the_of_it_,"	"of_it_,_person"	"NN"	"VB"	"DT"	"NN"	"RB"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"too"	"many"	"be"	"the"	"truth"	"of_it"	"person"	"think"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"but"	"with"	"she"	"with_the"	"the_but"	"but_she"	"answer_with_the"	"with_the_but"	"the_but_she"	"but_she_know"	"VB"	"IN"	"DT"	"NN"	"CC"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"a"	"moment"	"think_of"	"answer"	"with"	"the"	"truth"	"but"	"she"	"know"	"there"	"be"	"man"	"who"	"shy_away_from"	"virginity"	"who"	"demand"	"some"	"degree"	"of"	"education"	"in"	"body"	"as_well_as"	"mind"	"0"	"0"	"0"	"0"	"0"	
